Department,Department_Division,PCN,Position_Title,FLSA_Status,Initial_Hire_Date,Date_in_Title,Salary
AGR,AGR 001 Directors Office,B.001326.1     ,Administrative Specialist II,Non Exempt,9/10/1984,3/1/2018,59947.94
AGR,AGR 001 Directors Office,B.003590,Rural Community Coordinator,Exempt,8/16/2003,12/7/2016,85765.16
AGR,AGR 001 Directors Office,B.004807,Director of Agriculture,Exempt,10/1/2008,10/1/2008,137517.91
AGR,AGR 010 Cooperative Extension Program,B.001801.1     ,Administrative Assistant,Non Exempt,2/1/2011,3/14/2019,38745.46
AGR,AGR 010 Cooperative Extension Program,B.002434.1     ,Administrative Assistant,Non Exempt,8/16/1993,5/16/1999,51521.60
AGR,AGR 110 Farmers Market,N.030520,Office Assistant I,Non Exempt,7/16/2021,NULL,14.14
AGR,AGR 110 Farmers Market,B.007414.1     ,Program Educator I,Non Exempt,5/16/2012,6/21/2018,31987.54
AGR,AGR 110 Farmers Market,B.000190.1     ,Farmer's Market Supervisor,Non Exempt,3/16/2017,3/16/2017,39863.20
AGR,AGR 110 Farmers Market,N.030636,Operations Assistant II,Non Exempt,6/7/2018,NULL,13.57
AGR,AGR 310 Agricultural Reserve Program,B.005215.1     ,Planner II,Exempt,8/3/2017,8/3/2017,62312.12
AUD,AUD 180 City Auditor,B.001048.1     ,Administrative Specialist I,Non Exempt,5/22/2015,4/26/2018,45816.94
AUD,AUD 180 City Auditor,B.004376.1     ,Auditor IV,Exempt,4/7/2016,5/20/2021,84070.48
AUD,AUD 180 City Auditor,B.005728.1     ,Auditor IV,Exempt,3/16/2003,8/22/2014,91454.48
AUD,AUD 180 City Auditor,B.002257.1     ,Auditor IV,Exempt,7/16/1987,8/1/2009,114438.48
AUD,AUD 180 City Auditor,B.000983,City Auditor,Exempt,5/15/2008,5/15/2008,140247.91
AUD,AUD 180 City Auditor,B.007413,Auditor II,Exempt,9/13/2018,5/6/2021,54996.50
CAD,CAD 010 City Attorney,B.002234,Paralegal,Non Exempt,10/7/2015,10/7/2015,53250.34
CAD,CAD 010 City Attorney,B.005502.1     ,Paralegal,Non Exempt,1/1/2008,2/7/2016,53250.34
CAD,CAD 010 City Attorney,B.002685.1     ,Deputy City Attorney,Exempt,9/1/2000,3/16/2009,159823.81
CAD,CAD 010 City Attorney,B.001536.2     ,Legal Secretary II,Non Exempt,4/26/2018,4/26/2018,41880.80
CAD,CAD 010 City Attorney,B.005049,Associate City Attorney,Exempt,11/16/2006,2/1/2008,121402.06
CAD,CAD 010 City Attorney,B.005096.1     ,Paralegal,Non Exempt,6/16/2006,10/22/2014,53354.34
CAD,CAD 010 City Attorney,B.000926,Associate City Attorney,Exempt,5/16/2004,5/16/2006,122557.50
CAD,CAD 010 City Attorney,B.000135,Legal Office Administrator,Exempt,9/1/2004,9/1/2004,99320.00
CAD,CAD 010 City Attorney,B.006082.1     ,Paralegal,Non Exempt,6/1/2004,8/30/2018,49880.74
CAD,CAD 010 City Attorney,B.001527.1     ,Assistant City Attorney,Exempt,8/16/2018,8/16/2018,77930.84
CAD,CAD 010 City Attorney,B.005682,Associate City Attorney,Exempt,10/16/2008,10/16/2008,115319.10
CAD,CAD 010 City Attorney,B.001082,Associate City Attorney,Exempt,4/16/2013,11/22/2016,100551.10
CAD,CAD 010 City Attorney,B.006504,Senior Attorney,Exempt,11/1/2008,7/7/2015,126282.26
CAD,CAD 010 City Attorney,B.005024.1     ,Senior Attorney,Exempt,7/7/2014,3/25/2021,112977.54
CAD,CAD 010 City Attorney,B.004361,Associate City Attorney,Exempt,11/22/2015,11/22/2016,99011.90
CAD,CAD 010 City Attorney,B.001381,Associate City Attorney,Exempt,9/1/2007,4/1/2014,117087.10
CAD,CAD 010 City Attorney,B.004293,Deputy City Attorney,Exempt,8/1/1998,3/1/2007,159636.63
CAD,CAD 010 City Attorney,B.001161.3     ,Legal Secretary II,Non Exempt,3/14/2019,11/21/2019,40986.40
CAD,CAD 010 City Attorney,B.004631,Paralegal,Non Exempt,3/22/2016,3/22/2016,60093.28
CAD,CAD 010 City Attorney,B.005200.1     ,Paralegal,Non Exempt,4/1/2008,5/16/2011,55912.74
CAD,CAD 010 City Attorney,B.004750,Associate City Attorney,Exempt,1/22/2015,10/24/2019,96579.08
CAD,CAD 010 City Attorney,B.003992,Deputy City Attorney,Exempt,9/20/1999,3/1/2007,159636.63
CAD,CAD 010 City Attorney,B.007212,Assistant City Attorney,Exempt,9/14/2017,9/14/2017,79740.44
CAD,CAD 010 City Attorney,B.002654,Deputy City Attorney,Exempt,11/16/1997,7/1/2006,159636.63
CAD,CAD 010 City Attorney,B.002709,Paralegal,Non Exempt,8/22/2014,8/22/2014,53354.34
CAD,CAD 010 City Attorney,B.003579.3     ,Paralegal,Non Exempt,3/11/2021,3/11/2021,50300.12
CAD,CAD 010 City Attorney,B.007630,Office Assistant I,Non Exempt,11/7/2019,11/7/2019,31805.02
CAD,CAD 010 City Attorney,B.007213.1     ,Administrative Assistant,Non Exempt,4/20/2005,11/1/2011,41179.06
CAD,CAD 010 City Attorney,B.006176,Paralegal,Non Exempt,6/1/1998,11/16/2007,57056.74
CAD,CAD 010 City Attorney,B.005820,Senior Attorney,Exempt,6/16/2006,7/7/2015,131586.27
CAD,CAD 010 City Attorney,B.001627.1     ,Administrative Assistant,Non Exempt,5/16/1990,8/1/2019,51287.86
CAD,CAD 010 City Attorney,B.004977,Senior Attorney,Exempt,4/16/2006,8/16/2013,130338.26
CAD,CAD 010 City Attorney,B.001341,City Attorney,Exempt,2/16/1999,3/1/2009,234273.00
CAD,CAD 010 City Attorney,B.007664,Associate City Attorney,Exempt,5/1/2005,2/25/2021,103088.70
CAD,CAD 010 City Attorney,B.002227,Associate City Attorney,Exempt,4/22/2016,4/22/2016,104627.90
CAD,CAD 010 City Attorney,B.003967.1     ,Legal Assistant Supervisor,Non Exempt,5/16/2004,4/1/2014,69538.82
CAD,CAD 010 City Attorney,B.000103,Assistant City Attorney,Exempt,5/12/2007,2/11/2021,79999.92
CAD,CAD 010 City Attorney,B.005064.1     ,Legal Secretary II,Non Exempt,5/21/2020,5/20/2021,38792.00
CAD,CAD 010 City Attorney,B.005503,Associate City Attorney,Exempt,6/16/2004,6/16/2007,109432.70
CAD,CAD 010 City Attorney,B.001758.1     ,Deputy City Attorney,Exempt,11/1/1999,9/22/2016,153334.22
CCC,CCC 041 Clerk of Circuit Court,S.020157,Deputy Clerk I (State),Non Exempt,4/1/2014,4/1/2014,36767.64
CCC,CCC 041 Clerk of Circuit Court,S.020192,Deputy Clerk I (State),Non Exempt,9/24/2020,9/24/2020,32739.20
CCC,CCC 041 Clerk of Circuit Court,S.020193,Deputy Clerk I (State),Non Exempt,8/13/2019,10/10/2019,32192.94
CCC,CCC 041 Clerk of Circuit Court,S.020181,Deputy Clerk IV (State),Non Exempt,2/15/1996,4/1/2012,58479.46
CCC,CCC 041 Clerk of Circuit Court,S.020032.1     ,Deputy Clerk IV (State),Non Exempt,10/16/2000,1/1/2004,67631.46
CCC,CCC 041 Clerk of Circuit Court,S.020158,Deputy Clerk I (State),Non Exempt,6/1/1997,8/1/2000,36705.24
CCC,CCC 041 Clerk of Circuit Court,S.020185,Deputy Clerk I (State),Non Exempt,5/1/2011,5/1/2011,41926.30
CCC,CCC 041 Clerk of Circuit Court,S.020191,Deputy Clerk I (State),Non Exempt,10/10/2019,10/10/2019,32919.64
CCC,CCC 041 Clerk of Circuit Court,S.020182,Deputy Clerk IV (State),Non Exempt,8/1/1999,4/1/2012,56437.42
