order_id,business_id,business_name,account_handle,dma_region,business_type,order_date,order_amount,client_tier
ORD-6416778,BIZ-100000,ironbridge consulting, ironbridgeconsulting ,MIAMI-FORT LAUDERDALE,marketing,2025-14-01,3962.69,gold
ORD-8710502,BIZ-100000,IronBridge Consulting,ironbridgeconsulting,MIAMI-FORT LAUDERDALE,MARKETING,2025-14-01,24160.64,PLATINUM
ORD-6064462,BIZ-100000,IRONBRIDGE CONSULTING, ironbridgeconsulting ,Miami-Fort Lauderdale,marketing,2023/05/16,12436.88,gold
ORD-6125594,BIZ-100000,IRONBRIDGE CONSULTING,,Miami-Fort Lauderdale,marketing,02/10/2024,14536.13,platinum
ORD-9714828,BIZ-100000, IronBridge Consulting ,ironbridgeconsulting,Miami-Fort Lauderdale,marketing,2023/08/20,,PLATINUM
ORD-2188301,BIZ-100001,HARBORVIEW HEALTH,,Los Angeles,technology,05/04/2024,,GOLD
ORD-3233823,BIZ-100001,HARBORVIEW HEALTH,harborviewhealth,Los Angeles,technology,2024-01-27,19448.64,bronze
ORD-8421969,BIZ-100001,HARBORVIEW HEALTH,harborviewhealth,Los Angeles,Technology,09/22/2024,,SILVER
ORD-5646746,BIZ-100002,Westlake Studios,WESTLAKESTUDIOS,new york,hospitality,09/11/2023,,silver
ORD-9548370,BIZ-100002,WESTLAKE STUDIOS,,new york,hospitality,06/14/2024,20875.56,Bronze
ORD-2891524,BIZ-100002,WESTLAKE STUDIOS,,New York,hospitality,01/31/2024,23678.49,bronze
ORD-7130603,BIZ-100003,Northwind Logistics LLC,NORTHWINDLOGISTICS, New York ,Finance,03/06/2024,5275.87,gold
ORD-7676912,BIZ-100003,Northwind Logistics LLC, northwindlogistics , New York ,FINANCE,2025-14-01,-250.0,GOLD
ORD-2402526,BIZ-100003,northwind logistics,northwindlogistics,NEW YORK,Finance,,1701.08,Silver
ORD-8339797,BIZ-100003,NORTHWIND LOGISTICS,northwindlogistics,NEW YORK,Finance,2025-14-01,668.33,Silver
