date,channel,spend,revenue
2025-01-01,Paid_Search,832.49,499.52
2025-01-02,Paid_Search,812.76,561.38
2025-01-03,Paid_Search,839.44,603.58
2025-01-04,Paid_Search,853.54,650.09
2025-01-05,Paid_Search,934.9,618.28
2025-01-06,Paid_Search,909.78,785.53
2025-01-07,Paid_Search,979.24,628.79
2025-01-08,Paid_Search,933.8,615.77
2025-01-09,Paid_Search,1022.68,882.48
2025-01-10,Paid_Search,1003.0,870.99
2025-01-11,Paid_Search,1046.55,928.68
2025-01-12,Paid_Search,1057.44,803.6
2025-01-13,Paid_Search,1077.99,868.8
2025-01-14,Paid_Search,1147.89,976.16
2025-01-15,Paid_Search,1168.02,736.98
2025-01-16,Paid_Search,1161.33,852.84
2025-01-17,Paid_Search,1194.64,819.92
2025-01-18,Paid_Search,1235.61,789.56
2025-01-19,Paid_Search,1236.26,924.07
2025-01-20,Paid_Search,1258.1,775.0
2025-01-21,Paid_Search,1277.65,992.47
2025-01-22,Paid_Search,1329.69,1076.95
2025-01-23,Paid_Search,1346.16,1088.13
2025-01-24,Paid_Search,1357.25,982.99
2025-01-25,Paid_Search,1401.02,1119.61
2025-01-26,Paid_Search,1412.26,1065.5
2025-01-27,Paid_Search,1452.4,1265.07
2025-01-28,Paid_Search,1487.34,953.75
2025-01-29,Paid_Search,1506.0,1083.27
2025-01-30,Paid_Search,1517.96,986.07
2025-01-31,Paid_Search,1545.82,1275.68
2025-02-01,Paid_Search,1586.73,1297.63
2025-02-02,Paid_Search,1605.71,1325.17
2025-02-03,Paid_Search,1642.7,1157.56
2025-02-04,Paid_Search,1660.26,1209.38
2025-02-05,Paid_Search,1669.04,1484.53
2025-02-06,Paid_Search,1722.63,1092.88
2025-02-07,Paid_Search,1755.4,1553.26
2025-02-08,Paid_Search,1793.71,1295.85
2025-02-09,Paid_Search,1747.07,1172.47
2025-02-10,Paid_Search,1803.2,1624.43
2025-02-11,Paid_Search,1842.52,1999.4
2025-02-12,Paid_Search,1856.31,2164.06
2025-02-13,Paid_Search,1834.56,1847.73
2025-02-14,Paid_Search,1904.6,1723.18
2025-02-15,Paid_Search,1940.24,2287.22
2025-02-16,Paid_Search,1945.55,2295.32
2025-02-17,Paid_Search,1970.98,2185.91
2025-02-18,Paid_Search,2003.97,2231.33
2025-02-19,Paid_Search,2027.38,1900.23
2025-02-20,Paid_Search,2052.44,2187.58
2025-02-21,Paid_Search,2097.59,2417.7
2025-02-22,Paid_Search,2092.49,2250.95
2025-02-23,Paid_Search,2112.23,2515.4
2025-02-24,Paid_Search,2143.12,2443.57
2025-02-25,Paid_Search,2175.87,2110.36
2025-02-26,Paid_Search,2191.06,2539.57
2025-02-27,Paid_Search,2249.49,2528.73
2025-02-28,Paid_Search,2228.1,2045.34
2025-03-01,Paid_Search,2278.39,2133.49
2025-03-02,Paid_Search,2314.81,2472.02
2025-03-03,Paid_Search,2305.93,2084.02
2025-03-04,Paid_Search,2322.54,2266.09
2025-03-05,Paid_Search,2381.3,2674.56
2025-03-06,Paid_Search,2407.01,2866.76
2025-03-07,Paid_Search,2398.75,2768.28
2025-03-08,Paid_Search,2449.23,2659.83
2025-03-09,Paid_Search,2442.68,2805.9
2025-03-10,Paid_Search,2499.51,2704.21
2025-03-11,Paid_Search,2509.5,2686.81
2025-03-12,Paid_Search,2512.84,2676.89
2025-03-13,Paid_Search,2599.72,2921.05
2025-03-14,Paid_Search,2576.01,2369.68
2025-03-15,Paid_Search,2642.27,2671.4
2025-03-16,Paid_Search,2625.4,2955.74
2025-03-17,Paid_Search,2686.01,2471.02
2025-03-18,Paid_Search,2715.86,2601.87
2025-03-19,Paid_Search,2712.53,2961.64
2025-03-20,Paid_Search,2766.04,2707.92
2025-03-21,Paid_Search,2775.93,2553.27
2025-03-22,Paid_Search,2817.38,3086.13
2025-03-23,Paid_Search,2840.01,3114.35
2025-03-24,Paid_Search,2860.59,3139.52
2025-03-25,Paid_Search,2877.75,3101.74
2025-03-26,Paid_Search,2904.65,3106.52
2025-03-27,Paid_Search,2938.65,3156.99
2025-03-28,Paid_Search,2970.78,3256.89
2025-03-29,Paid_Search,3018.74,3308.35
2025-03-30,Paid_Search,3008.83,3185.44
2025-03-31,Paid_Search,3023.0,3193.24
2025-04-01,Paid_Search,3050.35,3206.15
2025-04-02,Paid_Search,3052.56,3349.87
2025-04-03,Paid_Search,3089.66,3264.38
2025-04-04,Paid_Search,3105.06,3385.99
2025-04-05,Paid_Search,3159.9,3409.85
2025-04-06,Paid_Search,3171.51,3469.44
2025-04-07,Paid_Search,3243.81,3535.53
2025-04-08,Paid_Search,3187.07,3391.96
2025-04-09,Paid_Search,3300.57,3468.16
2025-04-10,Paid_Search,3270.03,3530.56
2025-04-11,Paid_Search,3326.63,3545.4
2025-04-12,Paid_Search,3319.25,3633.4
2025-04-13,Paid_Search,3324.55,3621.75
2025-04-14,Paid_Search,3381.27,3653.81
2025-04-15,Paid_Search,3397.79,3683.05
2025-04-16,Paid_Search,3412.65,3740.03
2025-04-17,Paid_Search,3455.61,3732.88
2025-04-18,Paid_Search,3473.54,3791.17
2025-04-19,Paid_Search,3538.09,3765.52
2025-04-20,Paid_Search,3547.22,3828.66
2025-04-21,Paid_Search,3562.05,3874.63
2025-04-22,Paid_Search,3583.41,3887.65
2025-04-23,Paid_Search,3591.98,3892.05
2025-04-24,Paid_Search,3641.48,3905.65
2025-04-25,Paid_Search,3623.36,3877.26
