transaction_id,business_id,order_date,product_code,department,units_sold,sales_amount,store_region,fulfillment_type,warehouse
TX500001,B8763,2024-01-07,SP-8382,SPORTING GOODS,13,2754.73,MIDWEST,DELIVERY, CHI-01 
TX500002,B1111,2024-01-07,HG-4481,HOME GOODS,1,112.81,NORTHEAST,IN STORE,DAL-01
TX500003,B8985,2024-01-07,CL-2847,CLOTHING,1,184.26,NORTHEAST,IN STORE,NYC-01
TX500004,B7077,2024-01-07,SP-8344,OFFICE,5,684.71,MIDWEST,DELIVERY,NYC-01
TX500005,B3338,2024-01-07,CL-7113,CLOTHING,7,749.3,SOUTHWEST,DELIVERY,SEA-01
TX500006,B2442,2024-01-07,SP-7628,SPORTING GOODS,6,831.63,NORTHEAST,PICKUP,NYC-01
TX500007,B9582,2024-01-07,CL-8950,CLOTHING,7,1031.21,SOUTHWEST,IN STORE,CHI-01
TX500008,B7578,2024-01-07,OT-8992,OFFICE,11,3254.73,MIDWEST,DELIVERY,LAX-01
TX500009,B8913,2024-01-07,HG-8224,HOME GOODS,2,191.14,NORTHEAST,PICKUP,SEA-01
TX500010,B6474,2024-01-07,OT-7027,OFFICE,12,1095.89,NORTHEAST,DELIVERY,CHI-01
TX500011,B1438,bad_date, OT-3587 ,OFFICE,10,663.96,MIDWEST,PICKUP,LAX-01
TX500012,B3863,2024-01-07,OT-3541,OFFICE,5,1105.87,SOUTHEAST,PICKUP,ATL-01
TX500013,B4505,2024-01-07,OT-4997,OFFICE,9,413.41,MIDWEST,DELIVERY,DAL-01
TX500014,B2996,2024-01-07,CL-9515,CLOTHING,2,54.85,SOUTHWEST,IN STORE,ATL-01
TX500015,B5004,2024-01-07,CL-8799,CLOTHING,13,408.59,SOUTHEAST,DELIVERY,CHI-01
TX500016,B7202,2024-01-07,EL-8661,ELECTRONICS,9,752.8,SOUTHEAST,IN STORE,CHI-01
TX500017,B9652,2024-01-07,EL-2514,ELECTRONICS,8,1628.37,NORTHEAST,PICKUP,DAL-01
TX500018,B2230,2024-01-07,CL-4512,CLOTHING,12,2947.21,MIDWEST,PICKUP,ATL-01
TX500019,B7802,2024-01-07,HG-9749,HOME GOODS,3,831.5,MIDWEST,IN STORE,SEA-01
TX500020,B2675,2024-01-07,HG-6530,HOME GOODS,2,351.18,SOUTHWEST,DELIVERY,SEA-01
TX500021,B5538,2024-01-07, SP-9599 ,SPORTING GOODS,4,893.42,MIDWEST,PICKUP,SEA-01
TX500022,B4574,2024-01-07, OT-1612 ,OFFICE,4,548.32,SOUTHWEST,PICKUP, ATL-01 
TX500023,B6189,2024-01-07,EL-6660,ELECTRONICS,13,2303.16,WEST,IN STORE,NYC-01
TX500024,B1731,2024-01-07,OT-4365,OFFICE,1,245.1,MIDWEST,PICKUP,CHI-01
TX500025,B4082,2024-01-07,HG-1757,HOME GOODS,11,1695.43,SOUTHEAST,PICKUP,SEA-01
TX500026,B1454,2024-01-07,OT-2891,OFFICE,4,749.35,MIDWEST,IN STORE,NYC-01
TX500027,B7359,2024-01-07,HG-9936,HOME GOODS,9,280.23,MIDWEST,IN STORE,NYC-01
TX500028,B7481,2024-01-07,CL-2132,CLOTHING,13,3238.67,SOUTHEAST,PICKUP,NYC-01
TX500029,B3191,2024-01-07,EL-9113,ELECTRONICS,1,156.29,SOUTHEAST,IN STORE,NYC-01
TX500030,B1544,2024-01-07,OT-2639,OFFICE,11,1990.12,WEST,IN STORE,CHI-01
TX500031,B3838,2024-01-07,EL-9522,ELECTRONICS,5,748.9,SOUTHEAST,PICKUP, SEA-01 
TX500032,B8187,2024-01-07,OT-9485,OFFICE,7,1088.54,MIDWEST,PICKUP,CHI-01
TX500033,B9801,2024-01-07,HG-7621,HOME GOODS,4,545.49,WEST,PICKUP,CHI-01
TX500034,B4084,2024-01-07,EL-6722,ELECTRONICS,8,1824.66,NORTHEAST,DELIVERY,NYC-01
TX500035,B9206,2024-01-08,SP-8087,SPORTING GOODS,8,1679.5,SOUTHWEST,PICKUP,CHI-01
TX500036,B3289,2024-01-08,OT-7086,OFFICE,11,2970.76,SOUTHEAST,PICKUP,SEA-01
TX500037,B7477,2024-01-08,EL-3654,ELECTRONICS,9,1378.79,MIDWEST,DELIVERY,SEA-01
TX500038,B5610,2024-01-08,sp-1672,SPORTING GOODS,3,868.37,WEST,PICKUP,ATL-01
TX500039,B5976,2024-01-08,OT-2755,OFFICE,10,1808.74,NORTHEAST,DELIVERY,ATL-01
TX500040,B1016,2024-01-08,EL-6594,ELECTRONICS,9,962.39,MIDWEST,PICKUP,SEA-01
TX500041,B8454,2024-01-08,EL-2235,ELECTRONICS,5,591.24,MIDWEST,IN STORE,ATL-01
TX500042,B6397,2024-01-08,EL-5028,ELECTRONICS,10,1392.91,NORTHEAST,DELIVERY,ATL-01
TX500043,B5703,2024-01-08,EL-8790,ELECTRONICS,5,97.97,NORTHEAST,PICKUP,DAL-01
TX500044,B2100,2024-01-08,CL-7085,CLOTHING,3,790.29,NORTHEAST,PICKUP,DAL-01
TX500045,B4273,2024-01-08,SP-2326,SPORTING GOODS,3,172.2,WEST,PICKUP,CHI-01
TX500046,B5007,2024-01-08,EL-1922,ELECTRONICS,1,176.41,MIDWEST,IN STORE,LAX-01
TX500047,B5756,2024-01-08,HG-9986,HOME GOODS,8,1552.48,NORTHEAST,PICKUP,NYC-01
TX500048,B2282,2024-01-08,EL-3871,ELECTRONICS,11,167.84,SOUTHWEST,DELIVERY,DAL-01
TX500049,B9224,2024-01-08,EL-9700,ELECTRONICS,7,1514.87,NORTHEAST,IN STORE,NYC-01
TX500050,B2649,2024-01-08,OT-5321,OFFICE,4,1090.82,SOUTHWEST,IN STORE,NYC-01
TX500051,B8699,2024-01-08,OT-3201,OFFICE,12,1442.98,WEST,DELIVERY,DAL-01
TX500052,B5496,2024-01-08,SP-7318,SPORTING GOODS,8,886.85, NORTHEAST ,PICKUP,LAX-01
TX500053,B1545,2024-01-08,SP-5861,SPORTING GOODS,7,947.97,WEST,DELIVERY,LAX-01
TX500054,B2258,2024-01-08,SP-9372,SPORTING GOODS,8,1494.69,SOUTHWEST,DELIVERY,CHI-01
TX500055,B6921,2024-01-08,OT-6845,OFFICE,10,1804.73,SOUTHEAST,PICKUP,NYC-01
TX500056,B6550,2024-01-08,HG-2118,HOME GOODS,1,180.5,MIDWEST,DELIVERY,NYC-01
TX500057,B3495,2024-01-08,SP-9036,SPORTING GOODS,5,674.27,NORTHEAST,IN STORE,DAL-01
TX500058,B2602,2024-01-08,SP-4796,SPORTING GOODS,5,689.87,SOUTHEAST,DELIVERY,DAL-01
TX500059,B3533,2024-01-08,EL-5310,ELECTRONICS,11,439.02,SOUTHEAST,DELIVERY,NYC-01
TX500060,B2104,2024-01-08,HG-1581,HOME GOODS,1,75.04,SOUTHEAST,DELIVERY,NYC-01
TX500061,B4943,2024-01-09,EL-9479,ELECTRONICS,2,209.18,WEST,IN STORE,DAL-01
TX500062,B6373,2024-01-09,CL-2789,CLOTHING,3,573.1,MIDWEST,DELIVERY,
TX500063,B1389,2024-01-09,SP-5602,SPORTING GOODS,10,1019.08,MIDWEST,PICKUP,SEA-01
TX500064,B6046,2024-01-09,EL-6015,ELECTRONICS,4,1185.58,MIDWEST,PICKUP,NYC-01
TX500065,B6651,2024-01-09,HG-1622,HOME GOODS,1,286.84,SOUTHEAST,PICKUP,SEA-01
TX500066,B9048,2024-01-09,OT-6863,OFFICE,9,1089.16,WEST,PICKUP,SEA-01
TX500067,B2966,2024-01-09,EL-6641,ELECTRONICS,3,281.75,MIDWEST,DELIVERY,NYC-01
TX500068,B6895,2024-01-09,HG-6805,HOME GOODS,9,153.3,MIDWEST,PICKUP,LAX-01
TX500069,B5851,2024-01-09,CL-4707,CLOTHING,11,1866.87,WEST,IN STORE,CHI-01
TX500070,B3757,2024-01-09,CL-9013,CLOTHING,11,2580.94,SOUTHWEST,DELIVERY,DAL-01
TX500071,B2539,2024-01-09,OT-8639,OFFICE,10,1975.29,MIDWEST,PICKUP,LAX-01
TX500072,B4058,2024-01-09,CL-7670,CLOTHING,9,1096.58,SOUTHEAST,PICKUP,ATL-01
TX500073,B2669,2024-01-09,OT-7631,OFFICE,9,889.9,SOUTHEAST,IN STORE,NYC-01
TX500074,B8650,2024-01-09,HG-3329,HOME GOODS,5,947.36,NORTHEAST,PICKUP,CHI-01
TX500075,B4565,2024-01-09,OT-8806,OFFICE,7,1939.35,MIDWEST,IN STORE,DAL-01
TX500076,B9195,2024-01-09,OT-7871,OFFICE,7,1700.14,WEST,DELIVERY,LAX-01
TX500077,B8182,2024-01-09,EL-7155,ELECTRONICS,4,406.56,NORTHEAST,PICKUP,ATL-01
TX500078,B7203,2024-01-09, OT-1461 ,OFFICE,13,2954.19,SOUTHEAST,PICKUP,DAL-01
TX500079,B2735,2024-01-09,HG-7380,HOME GOODS,14,1090.21, SOUTHEAST ,PICKUP,NYC-01
TX500080,B7200,2024-01-09,OT-2705,OFFICE,12,2787.05,WEST,DELIVERY,LAX-01
TX500081,B6211,2024-01-09,OT-4349,OFFICE,11,1341.07,MIDWEST,DELIVERY,DAL-01
TX500082,B9682,2024-01-09,EL-7613,ELECTRONICS,12,1026.49,MIDWEST,DELIVERY,ATL-01
TX500083,B3192,2024-01-09,EL-7570,ELECTRONICS,1,151.25,MIDWEST,IN STORE,DAL-01
TX500084,B6334,2024-01-09,HG-2679,HOME GOODS,3,530.28,NORTHEAST,IN STORE,CHI-01
TX500085,B4295,2024-01-10,HG-6561,HOME GOODS,5,313.66,SOUTHWEST,IN STORE,ATL-01
TX500086,B6359,2024-01-10,EL-3777,ELECTRONICS,12,2779.36,WEST,PICKUP,CHI-01
TX500087,B8222,2024-01-10,OT-9980,OFFICE,14,3384.46,MIDWEST,IN STORE,ATL-01
TX500088,B8133,2024-01-10,SP-8539,SPORTING GOODS,13,1437.06,SOUTHWEST,IN STORE,CHI-01
TX500089,B1480,2024-01-10,HG-6859,HOME GOODS,5,106.86,NORTHEAST,DELIVERY,SEA-01
TX500090,B4924,2024-01-10,HG-4373,HOME GOODS,3,442.7,NORTHEAST,DELIVERY,DAL-01
TX500091,B6517,2024-01-10,SP-2763,SPORTING GOODS,5,1020.33,NORTHEAST,PICKUP,NYC-01
TX500092,B1810,2024-01-10,CL-1570,CLOTHING,10,459.9,SOUTHEAST,IN STORE,CHI-01
