transaction_id,transaction_date,vendor_name,category,amount
1,2020-01-01,Slack,Software,87.00
2,2020-01-01,Zoom,Software,$149.00
3,2020-01-01,Notion,Software,Declined
4,2020-01-01,Mailchimp,Marketing,Declined
5,2020-01-01,American Airlines,Travel,"2,019.68"
6,2020-01-01,Expensify,Software,$50.00
7,2020-01-01,Office Depot,Office Supplies,408
8,2020-01-01,Stripe,Software,59
9,2020-01-02,WeWork,Rent,3200
10,2020-01-02,Asana,Software,Refunded
11,2020-01-02,HubSpot,Marketing,$499.86
12,2020-01-03,Microsoft,Software,440
13,2020-01-03,Notion,Software,Waived
14,2020-01-03,Mailchimp,Marketing,299.00
15,2020-01-03,Slack,Software,87
16,2020-01-03,Google Ads,Marketing,1799
17,2020-01-03,American Airlines,Travel,"2,822.63"
18,2020-01-03,HubSpot,Marketing,983.3
19,2020-01-04,QuickBooks,Software,139
20,2020-01-04,Office Depot,Office Supplies,$394.72
21,2020-01-04,Salesforce,Software,N/A
22,2020-01-04,American Airlines,Travel,1081.1
23,2020-01-04,QuickBooks,Software,109.65
24,2020-01-05,HubSpot,Marketing,831.2
25,2020-01-05,Notion,Software,16.00
26,2020-01-05,Dropbox,Software,$19.94
27,2020-01-05,Zoom,Software,149.0
28,2020-01-05,Asana,Software,34.5
29,2020-01-05,Dropbox,Software,$17.51
30,2020-01-05,DHL,Shipping,187
31,2020-01-05,Office Depot,Office Supplies,Refunded
32,2020-01-06,Expensify,Software,50
33,2020-01-06,Dropbox,Software,$22.62
34,2020-01-06,QuickBooks,Software,88.80
35,2020-01-06,Zoom,Software,$149.00
36,2020-01-07,Salesforce,Software,Pending
37,2020-01-07,Microsoft,Software,$233.81
38,2020-01-07,WeWork,Rent,"3,200.00"
39,2020-01-07,Zoom,Software,149.00
40,2020-01-07,Stripe,Software,59.00
41,2020-01-07,HubSpot,Marketing,1004
42,2020-01-07,Staples,Office Supplies,398.3
43,2020-01-08,Expensify,Software,50
44,2020-01-08,Amazon,Office Supplies,"1,217.79"
45,2020-01-08,Amazon,Office Supplies,234.89
46,2020-01-08,WeWork,Rent,"$3,200.00"
47,2020-01-08,Dropbox,Software,17.38
48,2020-01-08,HubSpot,Marketing,505.9
49,2020-01-08,Mailchimp,Marketing,299.00
50,2020-01-09,Slack,Software,87.0
51,2020-01-09,Expensify,Software,Waived
52,2020-01-09,QuickBooks,Software,62
53,2020-01-10,Mailchimp,Marketing,299.00
54,2020-01-10,LinkedIn Ads,Marketing,$775.23
55,2020-01-10,Expensify,Software,$50.00
56,2020-01-11,QuickBooks,Software,$179.91
57,2020-01-11,Office Depot,Office Supplies,428.9
58,2020-01-11,AWS,Software,"$1,225.99"
59,2020-01-12,Staples,Office Supplies,50.8
60,2020-01-12,Microsoft,Software,298.1
61,2020-01-12,Zoom,Software,$149.00
62,2020-01-12,Notion,Software,Pending
63,2020-01-13,Uber,Travel,187.73
64,2020-01-13,Uber,Travel,Declined
65,2020-01-13,WeWork,Rent,"3,200.00"
66,2020-01-14,Slack,Software,$87.00
67,2020-01-14,Asana,Software,35
68,2020-01-14,Stripe,Software,59.00
69,2020-01-14,Stripe,Software,59
70,2020-01-14,Expensify,Software,$50.00
71,2020-01-14,Amazon,Office Supplies,$970.74
72,2020-01-15,HubSpot,Marketing,570
73,2020-01-15,WeWork,Rent,"3,200.00"
74,2020-01-15,Expensify,Software,$50.00
75,2020-01-16,HubSpot,Marketing,639.50
76,2020-01-16,Stripe,Software,N/A
77,2020-01-16,Zoom,Software,149
78,2020-01-16,Delta Airlines,Travel,1812.5
79,2020-01-16,Stripe,Software,$59.00
80,2020-01-16,QuickBooks,Software,$105.06
81,2020-01-16,Salesforce,Software,800
82,2020-01-16,Google Ads,Marketing,2801.3
83,2020-01-17,Amazon,Office Supplies,312.56
84,2020-01-17,HubSpot,Marketing,428.82
85,2020-01-17,LinkedIn Ads,Marketing,$691.17
86,2020-01-17,FedEx,Shipping,$94.62
87,2020-01-17,FedEx,Shipping,242.8
88,2020-01-17,Asana,Software,82.46
89,2020-01-17,Google Ads,Marketing,3435.8
90,2020-01-18,Google Ads,Marketing,2788.7
91,2020-01-18,DHL,Shipping,219
92,2020-01-18,Google Ads,Marketing,TBD
93,2020-01-19,AWS,Software,1267.7
94,2020-01-19,FedEx,Shipping,119.35
95,2020-01-19,Mailchimp,Marketing,299
96,2020-01-20,WeWork,Rent,3200.0
97,2020-01-20,DHL,Shipping,$245.76
98,2020-01-20,Slack,Software,87
99,2020-01-20,Uber,Travel,59
