sale_id,sale_date,product,location,revenue
1,2020-01-01,Pro License,New York 10002,60616.29
2,2020-01-01,Support,07101,60235.34
3,2020-01-02,Pro License,New York 10003,7234.79
4,2020-01-02,Support,San Francisco 94102,56569.57
5,2020-01-02,Support,90210 Los Angeles,24517.01
6,2020-01-02,Pro License,"New York, NY, 10001",61910.55
7,2020-01-02,Pro License,Seattle 98101,34581.04
8,2020-01-03,Enterprise Suite,19102 Philadelphia,11955.94
9,2020-01-03,Enterprise Suite,"Minneapolis, MN, 55402",30978.85
10,2020-01-03,Consulting,97201,51043.16
11,2020-01-03,Support,60602 Chicago,41811.42
12,2020-01-04,Pro License,02102 Boston,8436.83
13,2020-01-04,Enterprise Suite,"Philadelphia, PA 19101",69148.83
14,2020-01-04,Starter Pack,Chicago 60601,23763.69
15,2020-01-05,Starter Pack,"Minneapolis, MN, 55402",12056.34
16,2020-01-05,Pro License,02102 Boston MA,50684.83
17,2020-01-05,Consulting,27601 Raleigh,12313.94
18,2020-01-05,Enterprise Suite,Atlanta 30302,42023.01
19,2020-01-06,Enterprise Suite,Detroit 48202,21255.91
20,2020-01-06,Consulting,"Detroit, MI 48202",12206.07
21,2020-01-07,Pro License,"Houston, TX, 77001",18098.17
22,2020-01-07,Consulting,23219 Richmond VA,45579.79
23,2020-01-07,Pro License,90001 Los Angeles CA,36407.7
24,2020-01-07,Enterprise Suite,94101,13636.39
25,2020-01-07,Consulting,77001 Houston TX,38764.42
26,2020-01-08,Consulting,53201 Milwaukee WI,20317.73
27,2020-01-08,Enterprise Suite,"Richmond, VA, 23219",58351.47
28,2020-01-09,Starter Pack,60601,38892.74
29,2020-01-09,Consulting,60602,22868.73
30,2020-01-10,Support,94102,70004.82
31,2020-01-10,Support,48201 Detroit MI,42400.13
32,2020-01-10,Pro License,33102 Miami FL,11711.84
33,2020-01-10,Consulting,10001,49920.84
34,2020-01-11,Starter Pack,Columbus 43201,44178.65
35,2020-01-11,Support,02101,23065.37
36,2020-01-12,Support,San Francisco 94101,74545.95
37,2020-01-12,Support,Newark 07101,54481.31
38,2020-01-13,Support,"Seattle, WA, 98101",87006.48
39,2020-01-13,Consulting,"Miami, FL, 33102",43638.09
40,2020-01-13,Support,"Columbus, OH 43201",23028.8
41,2020-01-13,Enterprise Suite,06101 Hartford,23592.92
42,2020-01-14,Enterprise Suite,30302,36541.09
43,2020-01-14,Enterprise Suite,02101 Boston,22170.63
44,2020-01-15,Consulting,San Francisco 94102,25992.39
45,2020-01-15,Support,07101 Newark NJ,59251.44
46,2020-01-16,Consulting,Raleigh 27601,47723.31
47,2020-01-16,Consulting,19102 Philadelphia,12269.81
48,2020-01-16,Enterprise Suite,"Seattle, WA, 98101",40532.59
49,2020-01-16,Starter Pack,19102,9545.95
50,2020-01-16,Support,"Raleigh, NC 27601",13920.63
51,2020-01-17,Consulting,Seattle 98101,21413.0
52,2020-01-17,Support,02102,38234.81
53,2020-01-17,Support,02101,53910.87
54,2020-01-18,Consulting,"Raleigh, NC 27601",12479.73
55,2020-01-18,Enterprise Suite,Atlanta 30301,52285.07
56,2020-01-19,Starter Pack,"New York, NY 10001",78898.16
57,2020-01-19,Support,"Chicago, IL, 60602",22304.36
58,2020-01-19,Starter Pack,San Francisco 94101,19002.93
59,2020-01-19,Support,02101,48438.52
60,2020-01-19,Support,"Detroit, MI 48202",4743.93
61,2020-01-20,Enterprise Suite,Boston 02101,77058.42
62,2020-01-20,Pro License,"Boston, MA 02102",49627.63
63,2020-01-20,Support,Hartford 06101,75619.71
64,2020-01-21,Support,19101 Philadelphia PA,36441.87
65,2020-01-21,Pro License,"Detroit, MI, 48202",46865.9
66,2020-01-22,Pro License,"Raleigh, NC, 27601",18140.03
67,2020-01-22,Enterprise Suite,48201,23946.78
68,2020-01-22,Support,97201,58177.38
69,2020-01-22,Support,02102 Boston,45322.58
70,2020-01-23,Pro License,55402 Minneapolis,44281.48
71,2020-01-23,Support,"Chicago, IL, 60602",9571.85
72,2020-01-23,Support,48201,31360.53
73,2020-01-24,Pro License,19102 Philadelphia,75419.75
74,2020-01-24,Support,Hartford 06101,71728.45
75,2020-01-24,Pro License,"Chicago, IL, 60601",15524.3
76,2020-01-24,Starter Pack,55401 Minneapolis MN,11772.67
77,2020-01-25,Enterprise Suite,23219,54604.18
78,2020-01-25,Enterprise Suite,98101,75665.24
79,2020-01-25,Starter Pack,Minneapolis 55401,39013.72
80,2020-01-25,Consulting,98102 Seattle WA,52341.16
81,2020-01-25,Pro License,10001 New York NY,13390.54
82,2020-01-26,Pro License,"Columbus, OH 43201",29960.46
83,2020-01-26,Starter Pack,07101,8137.16
84,2020-01-27,Enterprise Suite,30301 Atlanta,41877.8
85,2020-01-27,Pro License,Los Angeles 90210,87802.31
86,2020-01-27,Pro License,"Houston, TX 77002",58643.74
87,2020-01-27,Starter Pack,"New York, NY 10002",18452.05
88,2020-01-28,Enterprise Suite,"Chicago, IL 60601",9641.5
89,2020-01-28,Pro License,New York 10003,69394.49
90,2020-01-28,Pro License,Portland 97201,35371.31
91,2020-01-29,Starter Pack,33102,25712.56
92,2020-01-29,Support,"Chicago, IL 60601",18855.01
93,2020-01-30,Starter Pack,New York 10002,13650.63
94,2020-01-30,Support,"Richmond, VA 23219",5180.66
95,2020-01-30,Starter Pack,"Minneapolis, MN 55402",36970.16
96,2020-01-30,Support,San Francisco 94102,15714.25
97,2020-01-31,Enterprise Suite,10003 New York NY,58158.9
98,2020-01-31,Enterprise Suite,"Miami, FL, 33102",23760.62
99,2020-01-31,Enterprise Suite,"Minneapolis, MN, 55401",31911.46
100,2020-01-31,Consulting,48201 Detroit,26341.88
101,2020-02-01,Pro License,"Chicago, IL 60602",28611.8
102,2020-02-01,Pro License,53201 Milwaukee WI,34511.26
103,2020-02-01,Enterprise Suite,48201 Detroit,21491.61
104,2020-02-01,Support,60602 Chicago IL,12088.77
105,2020-02-01,Consulting,"Detroit, MI, 48202",24319.43
106,2020-02-02,Pro License,"San Francisco, CA, 94102",45747.64
107,2020-02-02,Support,19101 Philadelphia,26283.98
108,2020-02-02,Pro License,"Philadelphia, PA, 19101",66381.76
109,2020-02-03,Pro License,30302,48974.08
110,2020-02-03,Consulting,10003 New York NY,23363.19
111,2020-02-03,Support,Boston 02102,39156.21
112,2020-02-03,Pro License,Milwaukee 53201,25730.1
113,2020-02-04,Pro License,Philadelphia 19102,63381.53
114,2020-02-04,Pro License,97201,10218.34
115,2020-02-05,Support,07101 Newark NJ,65106.25
116,2020-02-05,Consulting,48202 Detroit MI,47601.9
117,2020-02-05,Support,"San Francisco, CA 94102",41846.22
118,2020-02-05,Consulting,"Houston, TX 77002",45388.36
119,2020-02-05,Starter Pack,23219 Richmond VA,45851.28
120,2020-02-06,Enterprise Suite,"Raleigh, NC, 27601",18652.05
121,2020-02-06,Starter Pack,60602 Chicago,13255.69
122,2020-02-06,Pro License,"Philadelphia, PA 19101",15378.05
123,2020-02-06,Enterprise Suite,"Houston, TX 77001",43265.89
124,2020-02-06,Consulting,"Los Angeles, CA 90210",33794.04
125,2020-02-07,Consulting,30301 Atlanta GA,50474.8
126,2020-02-07,Support,"New York, NY 10002",69254.9
127,2020-02-08,Starter Pack,"New York, NY 10001",75705.62
