user_id,activity_date,purchase_amount
user001,2023-05-23,290.22
user001,2023-05-27,351.56
user001,2023-06-13,0.0
user001,2023-06-19,300.89
user001,2023-06-19,158.89
user001,2023-07-05,0.0
user001,2023-07-16,138.04
user001,2023-07-19,0.0
user001,2023-07-28,469.54
user001,2023-09-18,321.08
user002,2024-01-18,0.0
user002,2024-02-22,186.5
user002,2024-02-27,462.55
user003,2023-12-01,518.91
user004,2023-06-06,0.0
user004,2023-06-07,343.5
user004,2023-06-11,0.0
user004,2023-07-05,300.66
user004,2023-07-12,408.51
user004,2023-08-11,0.0
user005,2023-04-22,0.0
user005,2023-04-24,214.92
user005,2023-05-03,62.19
user005,2023-07-10,0.0
user006,2023-08-09,110.9
user006,2023-08-09,400.37
user006,2023-09-03,358.27
user006,2023-09-12,315.0
user006,2023-10-06,0.0
user006,2023-10-15,449.74
user006,2023-10-19,359.89
user007,2023-03-03,117.56
user007,2023-03-08,141.65
user007,2023-04-13,148.42
user007,2023-05-30,344.68
user008,2023-05-18,0.0
user008,2023-05-22,549.67
user008,2023-06-03,423.9
user008,2023-06-21,0.0
user008,2023-06-22,0.0
user008,2023-06-24,453.31
user008,2023-07-08,496.11
user008,2023-08-01,378.15
user009,2023-06-01,328.63
user009,2023-07-03,452.5
user009,2023-09-18,29.92
user009,2023-10-07,0.0
user010,2023-09-16,44.61
user010,2023-10-16,0.0
user010,2023-10-18,98.48
user010,2023-10-30,242.36
user010,2023-11-02,69.59
user010,2023-12-26,44.1
user011,2024-01-17,182.81
user011,2024-02-04,0.0
user011,2024-03-05,325.83
user011,2024-04-29,283.32
user012,2023-04-30,0.0
user012,2023-05-22,209.79
user012,2023-05-22,0.0
user012,2023-06-16,54.4
user012,2023-06-26,0.0
user012,2023-07-10,200.03
user012,2023-08-31,442.21
user012,2023-09-06,269.86
user013,2023-05-12,0.0
user013,2023-05-23,517.75
user013,2023-07-10,304.1
user013,2023-08-05,0.0
user013,2023-08-06,400.94
user013,2023-08-22,297.96
user013,2023-09-17,0.0
user013,2023-09-21,98.6
user013,2023-09-24,0.0
user015,2023-08-10,109.82
user015,2023-08-13,152.96
user015,2023-10-09,481.04
user016,2023-06-24,0.0
user016,2023-06-26,383.84
user016,2023-07-11,548.45
user016,2023-07-27,480.76
user016,2023-08-06,88.16
user016,2023-08-27,344.61
user016,2023-09-06,0.0
user016,2023-09-11,36.75
user018,2024-01-20,362.25
user018,2024-02-05,171.0
user018,2024-03-20,0.0
user018,2024-04-01,0.0
user019,2023-10-21,71.34
user020,2024-01-26,377.77
user020,2024-01-30,0.0
user020,2024-01-30,0.0
user020,2024-02-09,285.37
user020,2024-02-09,0.0
user020,2024-02-19,64.3
user021,2023-11-27,545.33
user021,2023-12-28,112.95
user021,2024-01-11,361.51
user022,2023-08-17,187.74
user022,2023-08-30,183.42
user022,2023-09-06,91.61
user022,2023-09-22,0.0
user022,2023-10-14,0.0
user023,2023-11-05,381.57
user023,2023-11-09,103.65
user023,2023-11-10,359.26
user023,2023-12-07,54.84
user023,2023-12-16,215.17
user023,2024-02-13,0.0
user024,2023-08-02,267.14
user024,2023-08-31,0.0
user024,2023-09-09,143.08
user024,2023-09-24,252.02
user024,2023-10-09,0.0
user025,2023-12-17,499.75
user025,2023-12-18,79.33
user025,2023-12-25,518.94
user025,2024-01-06,96.86
user025,2024-01-31,373.53
user025,2024-02-07,266.3
user026,2023-02-21,199.04
user026,2023-02-23,0.0
user026,2023-03-05,0.0
user027,2023-11-04,547.66
user027,2024-02-02,0.0
user028,2023-10-02,459.7
user028,2023-10-05,320.24
user028,2023-10-07,309.38
user028,2023-10-11,39.53
user028,2023-11-04,0.0
user028,2023-12-03,123.63
user028,2023-12-14,276.4
user028,2023-12-20,390.63
user029,2024-01-14,173.81
user029,2024-01-14,101.56
user029,2024-02-29,0.0
user029,2024-03-23,0.0
user030,2023-03-28,312.41
user030,2023-03-29,57.37
user030,2023-04-12,0.0
user030,2023-04-25,0.0
user030,2023-05-20,596.55
user030,2023-06-22,57.55
user030,2023-06-29,69.54
user031,2023-04-01,214.75
user031,2023-04-10,412.85
user031,2023-05-07,63.53
user031,2023-05-15,80.42
user031,2023-07-27,291.8
user032,2023-07-19,508.37
user032,2023-10-11,0.0
user032,2023-12-10,0.0
user032,2023-12-12,438.16
user033,2023-08-14,0.0
user033,2023-09-02,136.05
user033,2023-09-06,210.34
user033,2023-09-24,177.1
user033,2023-09-25,0.0
user033,2023-10-20,40.52
user033,2023-11-01,0.0
user033,2023-12-05,0.0
user034,2023-12-01,0.0
user034,2024-01-15,474.31
user034,2024-03-12,63.77
user035,2023-08-16,312.47
user035,2023-09-28,273.67
user035,2023-10-04,392.77
user035,2023-10-11,259.2
user035,2023-12-17,326.24
user035,2023-12-28,0.0
user036,2023-08-07,120.24
user036,2023-08-19,251.59
user036,2023-08-26,280.22
user036,2023-08-26,138.13
user036,2023-09-07,0.0
user036,2023-09-21,0.0
user036,2023-10-31,175.75
user036,2023-11-09,511.28
user037,2023-06-01,479.79
user037,2023-06-08,0.0
user037,2023-07-07,69.18
user037,2023-07-11,0.0
user037,2023-07-29,311.78
user038,2024-02-13,87.1
user038,2024-04-03,222.79
user038,2024-04-06,203.57
user038,2024-05-07,398.65
user038,2024-05-23,505.9
user038,2024-06-10,239.45
user039,2023-04-13,40.62
user039,2023-05-13,170.65
user039,2023-06-09,156.6
user039,2023-06-14,48.76
user039,2023-06-23,386.59
user039,2023-06-24,281.34
user039,2023-07-21,407.52
user039,2023-08-15,0.0
user039,2023-08-21,0.0
user040,2023-10-09,87.87
user040,2023-11-06,520.86
user040,2023-11-20,311.52
user040,2023-11-22,123.13
user040,2023-12-20,385.22
user040,2024-01-02,0.0
user040,2024-01-21,0.0
user040,2024-01-22,0.0
user040,2024-02-09,415.78
user041,2023-12-17,540.47
user041,2023-12-19,0.0
user041,2024-01-13,133.57
user041,2024-02-04,83.02
user041,2024-03-01,0.0
user041,2024-03-06,278.93
user041,2024-03-22,64.85
user042,2023-07-02,110.3
user042,2023-07-04,61.75
user042,2023-07-29,0.0
user042,2023-08-27,0.0
user042,2023-09-04,123.83
user042,2023-09-15,340.83
user043,2023-12-25,87.49
user043,2024-01-06,535.69
user043,2024-01-07,539.1
user043,2024-01-16,114.09
user043,2024-01-29,180.43
user043,2024-01-29,0.0
user043,2024-03-01,0.0
user044,2023-06-14,0.0
user044,2023-06-28,0.0
user044,2023-07-21,13.06
user044,2023-09-08,54.73
user044,2023-09-20,336.89
user045,2023-02-20,251.68
user045,2023-03-10,414.76
user045,2023-04-29,164.81
user045,2023-05-26,0.0
user045,2023-05-27,377.35
user047,2023-07-19,0.0
user047,2023-08-04,204.53
user047,2023-08-07,198.82
user047,2023-08-13,0.0
user047,2023-08-23,232.26
user047,2023-09-04,35.01
user047,2023-09-14,196.12
user047,2023-12-11,32.5
user048,2023-11-10,0.0
user048,2024-02-10,286.79
user049,2023-05-09,38.37
user049,2023-05-22,324.58
user049,2023-06-27,189.97
user050,2023-12-29,169.73
user050,2023-12-29,69.02
